Banco,Contrato,Origen,Dia semana,Tipo archivo recaudo,Cuenta
bancolombia,impuesto predial,p,1,pagos web,148053
bancolombia,impuesto predial,p,0,pagos web,142294
bancolombia,impuesto predial,p,2,pagos web,132898
bancolombia,impuesto predial,p,3,pagos web,120859
bancolombia,impuesto predial,p,4,pagos web,111087
bancolombia,industria y comercio,presencial,2,pagos presencial,64784
bancolombia,industria y comercio,presencial,1,pagos presencial,63092
bancolombia,industria y comercio,p,4,pagos web,62465
bancolombia,industria y comercio,presencial,3,pagos presencial,61085
bancolombia,industria y comercio,p,2,pagos web,59983
bancolombia,industria y comercio,p,1,pagos web,59947
bancolombia,industria y comercio,p,3,pagos web,56467
bancolombia,impuesto predial,p,5,pagos web,54468
bancolombia,industria y comercio,presencial,0,pagos presencial,52671
bancolombia,impuesto predial,p,6,pagos web,51997
bancolombia,industria y comercio,presencial,4,pagos presencial,51501
bancolombia,industria y comercio,p,0,pagos web,48989
bancolombia,impuesto predial,presencial,0,pagos presencial,48274
bancolombia,impuesto predial,presencial,1,pagos presencial,48133
bancolombia,impuesto predial,presencial,2,pagos presencial,46085
bancolombia,impuesto predial,presencial,3,pagos presencial,40211
bancolombia,impuesto predial,presencial,4,pagos presencial,39852
bancolombia - botón bancolombi,impuesto predial,p,1,pagos web,33462
bancolombia - botón bancolombi,impuesto predial,p,2,pagos web,31728
bancolombia - botón bancolombi,impuesto predial,p,0,pagos web,31202
bancolombia - botón bancolombi,impuesto predial,p,3,pagos web,26582
davivienda,movilidad,presencial,1,pagos presencial,25874
davivienda,movilidad,presencial,2,pagos presencial,24455
bancolombia - botón bancolombi,impuesto predial,p,4,pagos web,23384
davivienda,movilidad,presencial,3,pagos presencial,23202
davivienda,movilidad,presencial,4,pagos presencial,22578
davivienda,movilidad,presencial,0,pagos presencial,22109
davivienda,impuesto predial,presencial,1,pagos presencial,18681
davivienda,impuesto predial,presencial,0,pagos presencial,17974
davivienda,impuesto predial,presencial,2,pagos presencial,16888
davivienda,impuesto predial,presencial,3,pagos presencial,15664
bancolombia,impuesto predial,presencial,5,pagos presencial,15527
bancolombia,industria y comercio,presencial,5,pagos presencial,15212
davivienda,impuesto predial,presencial,4,pagos presencial,14870
bancolombia s.a.,impuesto predial,p,1,pagos web,13836
bancolombia s.a.,impuesto predial,p,0,pagos web,13172
bancolombia - botón bancolombi,impuesto predial,p,5,pagos web,12831
bancolombia - botón bancolombi,impuesto predial,p,6,pagos web,12159
bancolombia,industria y comercio,p,5,pagos web,12012
bancolombia s.a.,impuesto predial,p,2,pagos web,11992
banco davivienda,impuesto predial,p,1,pagos web,11857
banco davivienda,impuesto predial,p,0,pagos web,11658
banco davivienda,impuesto predial,p,2,pagos web,10844
bancolombia,circulacion y transito,presencial,2,pagos presencial,10766
bancolombia,circulacion y transito,presencial,3,pagos presencial,10760
bancolombia,circulacion y transito,presencial,1,pagos presencial,10707
bancolombia,circulacion y transito,presencial,4,pagos presencial,10320
davivienda,movilidad,presencial,5,pagos presencial,10193
bancolombia s.a.,impuesto predial,p,3,pagos web,10040
banco davivienda,impuesto predial,p,3,pagos web,9451
bancolombia s.a.,impuesto predial,p,4,pagos web,8955
bancolombia,circulacion y transito,presencial,0,pagos presencial,8877
banco davivienda,impuesto predial,p,4,pagos web,8822
bancolombia,impuesto predial,n,0,pagos web,7297
bancolombia,impuesto predial,n,2,pagos web,7158
bancolombia,impuesto predial,n,1,pagos web,7067
bancolombia,facilidades,p,3,pagos web,6543
bancolombia,facilidades,p,1,pagos web,6098
colpatria,industria y comercio,presencial,1,pagos presencial,6010
bancolombia,impuesto predial,a,1,pagos web,6000
bancolombia,servicios,presencial,3,pagos presencial,5978
bancolombia,servicios,presencial,2,pagos presencial,5948
bancolombia,industria y comercio,p,6,pagos web,5935
bancolombia,facilidades,p,4,pagos web,5909
colpatria,industria y comercio,presencial,2,pagos presencial,5890
bancolombia,facilidades,p,2,pagos web,5890
bancolombia,impuesto predial,n,3,pagos web,5851
colpatria,industria y comercio,presencial,3,pagos presencial,5826
bancolombia,servicios,presencial,1,pagos presencial,5813
bancolombia,impuesto predial,a,0,pagos web,5768
bancolombia,impuesto predial,a,2,pagos web,5651
davivienda,industria y comercio,presencial,2,pagos presencial,5582
davivienda,industria y comercio,presencial,1,pagos presencial,5510
davivienda,industria y comercio,presencial,3,pagos presencial,5344
bancolombia,facilidades,p,0,pagos web,5313
bancolombia,impuesto predial,a,3,pagos web,5190
cotrafa,industria y comercio,presencial,2,pagos presencial,5138
bancolombia,servicios,presencial,4,pagos presencial,5115
cotrafa,industria y comercio,presencial,1,pagos presencial,5105
colpatria,industria y comercio,presencial,4,pagos presencial,5103
bancolombia s.a.,impuesto predial,p,6,pagos web,4920
cotrafa,industria y comercio,presencial,3,pagos presencial,4743
bancolombia,servicios,presencial,0,pagos presencial,4696
banco davivienda,impuesto predial,p,5,pagos web,4689
bancolombia,impuesto predial,a,4,pagos web,4667
banco davivienda,impuesto predial,p,6,pagos web,4601
davivienda,industria y comercio,presencial,0,pagos presencial,4567
bancolombia,impuesto predial,n,4,pagos web,4531
davivienda,industria y comercio,presencial,4,pagos presencial,4517
bancolombia s.a.,impuesto predial,p,5,pagos web,4367
colpatria,industria y comercio,presencial,0,pagos presencial,4333
banco davivienda,industria y comercio,p,1,pagos web,4288
banco bbva colombia s.a.,impuesto predial,p,1,pagos web,4202
banco davivienda,industria y comercio,p,4,pagos web,4189
cotrafa,industria y comercio,presencial,0,pagos presencial,4041
banco davivienda,industria y comercio,p,2,pagos web,4027
cotrafa,industria y comercio,presencial,4,pagos presencial,4024
banco bbva colombia s.a.,impuesto predial,p,0,pagos web,3993
bancolombia,impuesto predial,presencial,6,pagos presencial,3946
banco davivienda,industria y comercio,p,3,pagos web,3927
banco bbva colombia s.a.,impuesto predial,p,2,pagos web,3761
banco bbva colombia s.a.,impuesto predial,p,3,pagos web,3613
bogota_1,industria y comercio,presencial,3,pagos presencial,3581
bancolombia,préstamos hipotecarios,presencial,1,pagos presencial,3575
bogota_1,industria y comercio,presencial,1,pagos presencial,3548
bancolombia,impuesto predial,a,5,pagos web,3514
bogota_1,industria y comercio,presencial,2,pagos presencial,3474
bancolombia,industria y comercio,n,1,pagos web,3456
banco davivienda,industria y comercio,p,0,pagos web,3419
scotiabank colpatria,impuesto predial,p,1,pagos web,3294
banco bbva colombia s.a.,impuesto predial,p,4,pagos web,3265
bancolombia,industria y comercio,presencial,6,pagos presencial,3214
scotiabank colpatria,impuesto predial,p,0,pagos web,3165
bancolombia,industria y comercio,n,2,pagos web,3102
bogota_1,industria y comercio,presencial,4,pagos presencial,3102
bancolombia,impuesto predial,a,6,pagos web,3033
bancolombia,préstamos hipotecarios,presencial,3,pagos presencial,3018
banco de bogota,impuesto predial,p,1,pagos web,2974
scotiabank colpatria,impuesto predial,p,2,pagos web,2930
bancolombia,industria y comercio,n,4,pagos web,2852
banco de bogota,impuesto predial,p,2,pagos web,2849
bancolombia,préstamos hipotecarios,presencial,2,pagos presencial,2812
bancolombia,impuesto predial,n,5,pagos web,2808
banco de bogota,impuesto predial,p,0,pagos web,2782
bancolombia,alumbrado publico,presencial,4,pagos presencial,2746
occidente,circulacion y transito,presencial,1,pagos presencial,2717
bogota_1,industria y comercio,presencial,0,pagos presencial,2709
bancolombia,industria y comercio,n,0,pagos web,2709
bancolombia,alumbrado publico,presencial,3,pagos presencial,2704
nequi,impuesto predial,p,2,pagos web,2669
bancolombia,impuesto predial,n,6,pagos web,2668
nequi,impuesto predial,p,1,pagos web,2623
occidente,circulacion y transito,presencial,3,pagos presencial,2579
bancolombia,facilidades,p,5,pagos web,2570
bancolombia,alumbrado publico,presencial,1,pagos presencial,2558
scotiabank colpatria,impuesto predial,p,3,pagos web,2557
banco de bogota,impuesto predial,p,3,pagos web,2553
bancolombia,retencion ica,p,2,pagos web,2519
bancolombia,préstamos hipotecarios,presencial,0,pagos presencial,2516
bancolombia,alumbrado publico,presencial,2,pagos presencial,2499
bancolombia - botón bancolombi,industria y comercio,p,1,pagos web,2487
bancolombia,retencion ica,p,4,pagos web,2485
bancolombia,retencion ica,p,0,pagos web,2456
bancolombia,préstamos hipotecarios,presencial,4,pagos presencial,2422
nequi,impuesto predial,p,0,pagos web,2417
bancolombia,retencion ica,p,1,pagos web,2414
bancolombia,retencion ica,p,3,pagos web,2409
occidente,circulacion y transito,presencial,4,pagos presencial,2372
bancolombia,multas codigo de policia,presencial,1,pagos presencial,2370
occidente,circulacion y transito,presencial,2,pagos presencial,2354
citibank,impuesto predial,p,0,pagos web,2332
bancolombia,ingresos no tributarios,presencial,1,pagos presencial,2309
bancolombia - botón bancolombi,industria y comercio,p,2,pagos web,2298
banco de bogota,impuesto predial,p,4,pagos web,2250
scotiabank colpatria,impuesto predial,p,4,pagos web,2245
bancolombia - botón bancolombi,impuesto predial,a,1,pagos web,2242
bancolombia,industria y comercio,n,3,pagos web,2230
bancolombia,rentas contractuales,presencial,1,pagos presencial,2228
bancolombia,multas codigo de policia,presencial,3,pagos presencial,2196
citibank,impuesto predial,p,1,pagos web,2195
bancolombia - botón bancolombi,impuesto predial,a,2,pagos web,2171
bancolombia,ingresos no tributarios,presencial,2,pagos presencial,2169
occidente,industria y comercio,presencial,2,pagos presencial,2144
occidente,industria y comercio,presencial,1,pagos presencial,2133
bancolombia,multas codigo de policia,presencial,2,pagos presencial,2118
bancolombia,alumbrado publico,presencial,0,pagos presencial,2116
occidente,industria y comercio,presencial,3,pagos presencial,2113
occidente,circulacion y transito,presencial,0,pagos presencial,2112
banco caja social,impuesto predial,p,1,pagos web,2105
nequi,impuesto predial,p,3,pagos web,2073
bancolombia - botón bancolombi,industria y comercio,p,0,pagos web,2059
bancolombia - botón bancolombi,impuesto predial,a,0,pagos web,2029
bancolombia,ingresos no tributarios,presencial,3,pagos presencial,2011
bancolombia,multas codigo de policia,presencial,4,pagos presencial,2011
bancolombia - botón bancolombi,industria y comercio,p,4,pagos web,1998
bancolombia - botón bancolombi,impuesto predial,n,2,pagos web,1983
nequi,impuesto predial,p,4,pagos web,1983
banco caja social,impuesto predial,p,2,pagos web,1981
occidente,industria y comercio,presencial,4,pagos presencial,1957
bancolombia,ingresos no tributarios,presencial,4,pagos presencial,1945
banco caja social,impuesto predial,p,0,pagos web,1924
bancolombia - botón bancolombi,industria y comercio,p,3,pagos web,1907
banco de occidente,impuesto predial,p,1,pagos web,1906
banco de occidente,industria y comercio,p,4,pagos web,1906
bancolombia,multas codigo de policia,presencial,0,pagos presencial,1880
bancolombia,ingresos no tributarios,presencial,0,pagos presencial,1844
popular,circulacion y transito,presencial,3,pagos presencial,1810
citibank,impuesto predial,p,2,pagos web,1806
bancolombia - botón bancolombi,impuesto predial,a,3,pagos web,1780
banco bbva colombia s.a.,impuesto predial,p,5,pagos web,1771
bancolombia,rentas contractuales,presencial,3,pagos presencial,1767
banco de occidente,industria y comercio,p,1,pagos web,1766
popular,circulacion y transito,presencial,4,pagos presencial,1753
banco de bogota,industria y comercio,p,4,pagos web,1713
banco de occidente,industria y comercio,p,2,pagos web,1710
banco caja social,impuesto predial,p,3,pagos web,1708
bancolombia,industria y comercio,a,2,pagos web,1701
banco bbva colombia s.a.,industria y comercio,p,4,pagos web,1696
davivienda,circulacion y transito,presencial,1,pagos presencial,1690
banco de occidente,industria y comercio,p,3,pagos web,1687
davivienda,circulacion y transito,presencial,2,pagos presencial,1673
bancolombia,industria y comercio,a,1,pagos web,1668
bancolombia - botón bancolombi,impuesto predial,n,1,pagos web,1665
occidente,industria y comercio,presencial,0,pagos presencial,1662
bancolombia - botón bancolombi,impuesto predial,n,0,pagos web,1661
bogota_1,impuesto predial,presencial,1,pagos presencial,1661
bancolombia,delineación urbana,presencial,1,pagos presencial,1659
banco de bogota,industria y comercio,p,2,pagos web,1646
confiar,industria y comercio,presencial,2,pagos presencial,1639
bancolombia,circulacion y transito,p,4,pagos web,1633
bogota_1,impuesto predial,presencial,0,pagos presencial,1628
citibank,impuesto predial,p,3,pagos web,1626
bancolombia,facilidades,p,6,pagos web,1623
banco de bogota,industria y comercio,p,3,pagos web,1613
confiar,industria y comercio,presencial,1,pagos presencial,1610
bancolombia - botón bancolombi,impuesto predial,a,4,pagos web,1609
davivienda,circulacion y transito,presencial,3,pagos presencial,1599
bogota_1,impuesto predial,presencial,2,pagos presencial,1597
banco colpatria,impuesto predial,p,1,pagos web,1595
banco de bogota,industria y comercio,p,1,pagos web,1591
banco de occidente,impuesto predial,p,2,pagos web,1589
banco de occidente,impuesto predial,p,3,pagos web,1588
banco bbva colombia s.a.,industria y comercio,p,1,pagos web,1582
bancolombia,delineación urbana,presencial,2,pagos presencial,1581
banco caja social,impuesto predial,p,4,pagos web,1581
bancolombia s.a.,industria y comercio,p,2,pagos web,1570
bancolombia,delineación urbana,presencial,3,pagos presencial,1567
banco bbva colombia s.a.,industria y comercio,p,2,pagos web,1562
banco colpatria,impuesto predial,p,0,pagos web,1552
bancolombia,industria y comercio,a,3,pagos web,1547
confiar,industria y comercio,presencial,3,pagos presencial,1545
citibank,impuesto predial,p,4,pagos web,1532
banco bbva colombia s.a.,impuesto predial,p,6,pagos web,1530
bancolombia s.a.,industria y comercio,p,1,pagos web,1528
bancolombia,delineación urbana,presencial,4,pagos presencial,1519
banco de occidente,impuesto predial,p,0,pagos web,1515
popular,circulacion y transito,presencial,1,pagos presencial,1512
davivienda,circulacion y transito,presencial,4,pagos presencial,1511
bbva,impuesto predial,p,0,pagos web,1508
popular,circulacion y transito,presencial,2,pagos presencial,1504
bancolombia,circulacion y transito,p,3,pagos web,1467
bancolombia - botón bancolombi,impuesto predial,n,3,pagos web,1460
banco falabella,impuesto predial,p,1,pagos web,1460
banco bbva colombia s.a.,industria y comercio,p,3,pagos web,1459
bancolombia,industria y comercio,a,0,pagos web,1438
bogota_1,impuesto predial,presencial,4,pagos presencial,1436
bancolombia - botón bancolombi,facilidades,p,3,pagos web,1430
bancolombia,industria y comercio,a,4,pagos web,1429
bancolombia s.a.,industria y comercio,p,4,pagos web,1428
bbva,impuesto predial,p,1,pagos web,1393
bancolombia - botón bancolombi,facilidades,p,1,pagos web,1385
bancolombia - botón bancolombi,facilidades,p,2,pagos web,1377
bancolombia - botón bancolombi,facilidades,p,4,pagos web,1369
bancolombia s.a.,industria y comercio,p,3,pagos web,1368
bogota_1,impuesto predial,presencial,3,pagos presencial,1365
banco de occidente,industria y comercio,p,0,pagos web,1354
davivienda,circulacion y transito,presencial,0,pagos presencial,1349
scotiabank colpatria s.a.,impuesto predial,p,1,pagos web,1333
colpatria,industria y comercio,presencial,5,pagos presencial,1328
scotiabank colpatria s.a.,impuesto predial,p,2,pagos web,1320
confiar,industria y comercio,presencial,4,pagos presencial,1303
banco colpatria,impuesto predial,p,2,pagos web,1303
banco falabella,impuesto predial,p,0,pagos web,1287
bancolombia,delineación urbana,presencial,0,pagos presencial,1285
popular,circulacion y transito,presencial,0,pagos presencial,1285
confiar,industria y comercio,presencial,0,pagos presencial,1281
banco falabella,impuesto predial,p,2,pagos web,1274
banco de occidente,impuesto predial,p,4,pagos web,1256
bancolombia,rentas contractuales,presencial,2,pagos presencial,1251
scotiabank colpatria s.a.,impuesto predial,p,0,pagos web,1246
bancolombia s.a.,industria y comercio,p,0,pagos web,1230
bancolombia - botón bancolombi,impuesto predial,n,4,pagos web,1214
bancolombia,rentas contractuales,presencial,0,pagos presencial,1200
banco de bogota,industria y comercio,p,0,pagos web,1195
banco bbva colombia s.a.,industria y comercio,p,0,pagos web,1189
banco colpatria,impuesto predial,p,3,pagos web,1182
bancolombia - botón bancolombi,facilidades,p,0,pagos web,1168
bancolombia - botón bancolombi,impuesto predial,a,5,pagos web,1159
bbva,impuesto predial,p,2,pagos web,1156
bancolombia,rentas contractuales,presencial,4,pagos presencial,1140
bancolombia,circulacion y transito,p,0,pagos web,1136
bancolombia,circulacion y transito,p,2,pagos web,1127
nequi,impuesto predial,p,5,pagos web,1120
bancolombia,alumbrado publico,p,1,pagos web,1104
bancolombia,alumbrado publico,p,4,pagos web,1102
scotiabank colpatria,impuesto predial,p,6,pagos web,1096
confiar,impuesto predial,presencial,0,pagos presencial,1089
scotiabank colpatria,impuesto predial,p,5,pagos web,1074
banco av villas,impuesto predial,p,0,pagos web,1071
bancolombia - botón bancolombi,impuesto predial,a,6,pagos web,1071
bbva,impuesto predial,p,3,pagos web,1062
banco av villas,impuesto predial,p,1,pagos web,1060
confiar,impuesto predial,presencial,1,pagos presencial,1053
banco falabella,impuesto predial,p,3,pagos web,1052
banco itau,impuesto predial,p,0,pagos web,1050
confiar,impuesto predial,presencial,2,pagos presencial,1044
nequi,impuesto predial,p,6,pagos web,1032
banco av villas,impuesto predial,p,2,pagos web,1032
banco itau,impuesto predial,p,1,pagos web,1032
bbva,impuesto predial,p,4,pagos web,1029
bancolombia,alumbrado publico,p,3,pagos web,1019
banco colpatria,impuesto predial,p,4,pagos web,992
compania de financiamiento tuy,impuesto predial,p,0,pagos web,984
compania de financiamiento tuy,impuesto predial,p,1,pagos web,980
bancolombia s.a.,impuesto predial,n,2,pagos web,977
bancolombia,publicidad exterior visual,p,1,pagos web,967
bancolombia,circulacion y transito,p,1,pagos web,954
bancolombia s.a.,impuesto predial,n,0,pagos web,953
banco av villas,impuesto predial,p,3,pagos web,951
banco de bogota,impuesto predial,p,5,pagos web,940
banco itau,impuesto predial,p,2,pagos web,932
scotiabank colpatria s.a.,impuesto predial,p,3,pagos web,929
bancolombia,circulacion y transito,presencial,5,pagos presencial,920
bancolombia s.a.,impuesto predial,n,1,pagos web,912
bancolombia,publicidad exterior visual,p,3,pagos web,911
bancolombia,publicidad exterior visual,p,4,pagos web,893
bancolombia,publicidad exterior visual,p,2,pagos web,892
banco de bogota,impuesto predial,p,6,pagos web,890
bancolombia,alumbrado publico,p,2,pagos web,889
banco av villas,impuesto predial,p,4,pagos web,884
compania de financiamiento tuy,impuesto predial,p,2,pagos web,882
bancolombia,otros ingresos,presencial,1,pagos presencial,880
citibank,impuesto predial,p,6,pagos web,874
confiar,impuesto predial,presencial,3,pagos presencial,866
banco falabella,impuesto predial,p,4,pagos web,865
bancolombia,otros ingresos,presencial,3,pagos presencial,861
banco caja social,impuesto predial,p,5,pagos web,858
occidente,impuesto predial,presencial,1,pagos presencial,858
banco itau,impuesto predial,p,3,pagos web,854
confiar,impuesto predial,presencial,4,pagos presencial,851
bancolombia - botón bancolombi,industria y comercio,n,1,pagos web,848
banco caja social,industria y comercio,p,2,pagos web,847
banco caja social,industria y comercio,p,4,pagos web,841
bancolombia,alumbrado publico,p,0,pagos web,832
bancolombia - botón bancolombi,industria y comercio,n,2,pagos web,830
bogota_1,circulacion y transito,presencial,2,pagos presencial,824
banco caja social,industria y comercio,p,1,pagos web,798
banco itau,impuesto predial,p,4,pagos web,797
bogota_1,circulacion y transito,presencial,3,pagos presencial,794
bancolombia,publicidad exterior visual,presencial,1,pagos presencial,792
bancolombia s.a.,impuesto predial,n,3,pagos web,784
confiar,circulacion y transito,presencial,2,pagos presencial,781
banco caja social,industria y comercio,p,3,pagos web,779
bancolombia,publicidad exterior visual,p,0,pagos web,776
banco caja social,impuesto predial,p,6,pagos web,770
citibank,impuesto predial,p,5,pagos web,770
scotiabank colpatria s.a.,impuesto predial,p,4,pagos web,765
bancolombia,préstamos hipotecarios,presencial,5,pagos presencial,764
banco cooperativo coopcentral,impuesto predial,p,0,pagos web,762
bancolombia,industria y comercio,a,5,pagos web,761
davivienda,ingresos no tributarios,presencial,1,pagos presencial,759
occidente,impuesto predial,presencial,2,pagos presencial,751
bogota_1,circulacion y transito,presencial,4,pagos presencial,745
occidente,impuesto predial,presencial,0,pagos presencial,740
compania de financiamiento tuy,impuesto predial,p,3,pagos web,738
cotrafa,circulacion y transito,presencial,3,pagos presencial,736
bancolombia - botón bancolombi,industria y comercio,n,0,pagos web,736
banco itau,industria y comercio,p,4,pagos web,731
banco cooperativo coopcentral,impuesto predial,p,1,pagos web,730
bancolombia - botón bancolombi,industria y comercio,p,5,pagos web,720
bogota_1,circulacion y transito,presencial,1,pagos presencial,717
bancolombia,publicidad exterior visual,presencial,3,pagos presencial,709
bancolombia,publicidad exterior visual,presencial,4,pagos presencial,706
banco davivienda,industria y comercio,p,5,pagos web,706
occidente,servicios,presencial,1,pagos presencial,701
confiar,circulacion y transito,presencial,0,pagos presencial,697
bancolombia,rendimientos financieros y recursos no ejecutados,p,3,pagos web,693
bancocajasocial,industria y comercio,presencial,3,pagos presencial,691
scotiabank colpatria,industria y comercio,p,2,pagos web,689
coofinep,industria y comercio,presencial,1,pagos presencial,689
davivienda,ingresos no tributarios,presencial,2,pagos presencial,686
scotiabank colpatria,industria y comercio,p,1,pagos web,685
confiar,circulacion y transito,presencial,4,pagos presencial,685
banco davivienda,impuesto predial,n,1,pagos web,683
occidente,servicios,presencial,2,pagos presencial,683
banco cooperativo coopcentral,impuesto predial,p,2,pagos web,679
bancocajasocial,industria y comercio,presencial,2,pagos presencial,678
bancolombia - botón bancolombi,impuesto predial,n,5,pagos web,671
occidente,servicios,presencial,3,pagos presencial,670
bancocajasocial,impuesto predial,presencial,1,pagos presencial,669
occidente,impuesto predial,presencial,3,pagos presencial,669
cotrafa,circulacion y transito,presencial,1,pagos presencial,668
bbva,industria y comercio,presencial,2,pagos presencial,668
bancocajasocial,impuesto predial,presencial,0,pagos presencial,667
banco caja social,industria y comercio,p,0,pagos web,667
compania de financiamiento tuy,impuesto predial,p,4,pagos web,663
scotiabank colpatria,industria y comercio,p,4,pagos web,661
bancocajasocial,industria y comercio,presencial,1,pagos presencial,661
bogota_1,publicidad exterior visual,presencial,0,pagos presencial,656
bogota_1,publicidad exterior visual,presencial,3,pagos presencial,655
coofinep,industria y comercio,presencial,2,pagos presencial,649
bogota_1,publicidad exterior visual,presencial,1,pagos presencial,649
banco davivienda,impuesto predial,n,0,pagos web,647
banco itau,industria y comercio,p,3,pagos web,646
bancocajasocial,industria y comercio,presencial,0,pagos presencial,644
bancocajasocial,industria y comercio,presencial,4,pagos presencial,639
confiar,circulacion y transito,presencial,3,pagos presencial,636
banco popular,impuesto predial,p,1,pagos web,635
bancolombia,rendimientos financieros y recursos no ejecutados,p,4,pagos web,634
bancolombia s.a.,impuesto predial,a,1,pagos web,634
bancolombia,otros ingresos,presencial,2,pagos presencial,634
bancolombia - botón bancolombi,industria y comercio,n,4,pagos web,632
bancolombia,otros ingresos,presencial,4,pagos presencial,630
banco itau,industria y comercio,p,2,pagos web,630
scotiabank colpatria,industria y comercio,p,3,pagos web,630
bancocajasocial,impuesto predial,presencial,2,pagos presencial,628
banco itau,industria y comercio,p,1,pagos web,628
confiar,circulacion y transito,presencial,1,pagos presencial,627
bancolombia,rendimientos financieros y recursos no ejecutados,p,1,pagos web,627
banco popular,impuesto predial,p,2,pagos web,626
bancolombia,otros ingresos,presencial,0,pagos presencial,626
itaú,impuesto predial,p,0,pagos web,625
nu pagamentos sa,impuesto predial,p,1,pagos web,624
bbva,industria y comercio,presencial,1,pagos presencial,622
banco popular,impuesto predial,p,0,pagos web,622
occidente,servicios,presencial,4,pagos presencial,619
bbva,impuesto predial,p,6,pagos web,618
cotrafa,industria y comercio,presencial,5,pagos presencial,617
coofinep,industria y comercio,presencial,3,pagos presencial,616
occidente,impuesto predial,presencial,4,pagos presencial,615
banco davivienda,impuesto predial,n,2,pagos web,613
bancolombia,facilidades,n,2,pagos web,613
banco davivienda,facilidades,p,3,pagos web,604
bancolombia s.a.,impuesto predial,n,4,pagos web,603
davivienda,ingresos no tributarios,presencial,3,pagos presencial,603
davivienda,alumbrado publico,presencial,3,pagos presencial,602
davivienda,alumbrado publico,presencial,1,pagos presencial,600
banco popular,impuesto predial,p,3,pagos web,596
nu pagamentos sa,impuesto predial,p,2,pagos web,590
davivienda,ingresos no tributarios,presencial,0,pagos presencial,589
davivienda,ingresos no tributarios,presencial,4,pagos presencial,583
bancolombia,industria y comercio,a,6,pagos web,583
bogota_1,circulacion y transito,presencial,0,pagos presencial,582
bancolombia,facilidades,n,4,pagos web,580
bbva,industria y comercio,presencial,4,pagos presencial,579
bbva,industria y comercio,presencial,3,pagos presencial,579
banco cooperativo coopcentral,impuesto predial,p,3,pagos web,578
bancolombia,publicidad exterior visual,presencial,0,pagos presencial,578
bancolombia - botón bancolombi,impuesto predial,n,6,pagos web,574
itaú,impuesto predial,p,1,pagos web,573
banco cooperativo coopcentral,impuesto predial,p,4,pagos web,573
cotrafa,circulacion y transito,presencial,4,pagos presencial,572
coofinep,industria y comercio,presencial,0,pagos presencial,571
bancolombia,industria y comercio,n,5,pagos web,571
bancolombia,rendimientos financieros y recursos no ejecutados,p,2,pagos web,569
bancolombia s.a.,impuesto predial,a,0,pagos web,568
bancolombia - botón bancolombi,facilidades,p,5,pagos web,565
banco davivienda,facilidades,p,4,pagos web,562
itaú,impuesto predial,p,2,pagos web,557
banco davivienda,facilidades,p,1,pagos web,556
"rappipay, s.a.s.",impuesto predial,p,0,pagos web,556
banco colpatria,impuesto predial,p,5,pagos web,555
bancocajasocial,impuesto predial,presencial,3,pagos presencial,553
banco davivienda,facilidades,p,2,pagos web,552
bancolombia s.a.,impuesto predial,a,2,pagos web,551
bancolombia,facilidades,n,3,pagos web,549
nequi,industria y comercio,p,2,pagos web,548
cotrafa,circulacion y transito,presencial,2,pagos presencial,546
occidente,servicios,presencial,0,pagos presencial,545
bancolombia,alumbrado publico,presencial,5,pagos presencial,544
banco av villas,industria y comercio,p,4,pagos web,540
bancolombia,facilidades,n,1,pagos web,539
banco colpatria,impuesto predial,p,6,pagos web,537
bancocajasocial,impuesto predial,presencial,4,pagos presencial,537
"rappipay, s.a.s.",impuesto predial,p,1,pagos web,536
citibank,industria y comercio,p,1,pagos web,536
"banco davivienda, s.a.",impuesto predial,p,1,pagos web,535
occidente,rentas contractuales,presencial,1,pagos presencial,534
banco davivienda,impuesto predial,a,0,pagos web,533
bancolombia - botón bancolombi,industria y comercio,n,3,pagos web,531
"rappipay, s.a.s.",impuesto predial,p,2,pagos web,529
banco popular,impuesto predial,p,4,pagos web,529
banco davivienda,impuesto predial,a,2,pagos web,527
coofinep,industria y comercio,presencial,4,pagos presencial,525
scotiabank colpatria,industria y comercio,p,0,pagos web,522
banco av villas,impuesto predial,p,5,pagos web,521
bbva,impuesto predial,p,5,pagos web,517
banco davivienda,impuesto predial,n,3,pagos web,517
cotrafa,circulacion y transito,presencial,0,pagos presencial,516
citibank,industria y comercio,p,4,pagos web,514
nu pagamentos sa,impuesto predial,p,0,pagos web,513
bancolombia,rendimientos financieros y recursos no ejecutados,p,0,pagos web,512
nequi,industria y comercio,p,1,pagos web,512
"banco davivienda, s.a.",impuesto predial,p,0,pagos web,511
citibank,industria y comercio,p,2,pagos web,506
itaú,impuesto predial,p,3,pagos web,505
banco davivienda,impuesto predial,a,1,pagos web,500
occidente,alumbrado publico,presencial,1,pagos presencial,497
banco av villas,industria y comercio,p,3,pagos web,496
nequi,industria y comercio,p,3,pagos web,492
banco itau,industria y comercio,p,0,pagos web,492
"banco davivienda, s.a.",impuesto predial,p,2,pagos web,489
bancolombia,rentas contractuales,p,1,pagos web,484
citibank,industria y comercio,p,3,pagos web,481
banco falabella,impuesto predial,p,5,pagos web,480
banco av villas,impuesto predial,p,6,pagos web,477
banco av villas,industria y comercio,p,1,pagos web,468
banco falabella,impuesto predial,p,6,pagos web,468
"banco de occidente, s.a.",impuesto predial,p,1,pagos web,465
banco av villas,industria y comercio,p,2,pagos web,458
bancolombia,publicidad exterior visual,presencial,2,pagos presencial,457
banco davivienda,facilidades,p,0,pagos web,455
bancolombia - botón bancolombi,facilidades,p,6,pagos web,454
