Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
pse - cuentas débito ahorro y,industria y comercio,n,pagos web,15
banco davivienda,estampilla procultura,p,pagos web,15
banco av villas,rentas contractuales,p,pagos web,15
banco caja social,industria y comercio,a,pagos web,15
bancolombia s.a.,aprov.esp.pub,p,pagos web,15
nequi,movilidad,p,pagos web,15
falabella,industria y comercio,a,pagos web,14
cfa cooperativa financiera,impuesto predial,a,pagos web,14
banco itau,recursos fonset,p,pagos web,14
banco de bogota,servicios,n,pagos web,14
banco bbva colombia s.a.,impuesto predial,w,pagos web,14
banco popular,recursos fonset,n,pagos web,14
banco de bogota,otros ingresos,n,pagos web,14
banco cooperativo coopcentral,industria y comercio,n,pagos web,14
banco itau,transferencias,p,pagos web,14
banco colpatria,alumbrado publico,p,pagos web,14
caja social bcs,industria y comercio,p,pagos web,14
banco santander,impuesto predial,a,pagos web,14
redeban multicolor s.a.,facilidades,p,pagos web,14
bancamia s.a.,impuesto predial,n,pagos web,14
n26 gmbh,impuesto predial,p,pagos web,14
citibank,alumbrado publico,n,pagos web,14
davivienda,circulación pico y placa,presencial,pagos presencial,14
banco de occidente,rendimientos financieros y recursos no ejecutados,n,pagos web,14
occidente,multas codigo de policia,presencial,pagos presencial,14
bancolombia,espectaculos publicos,n,pagos web,14
toronto-dominion bank,impuesto predial,p,pagos web,13
bancolombia s.a.- nequi,facilidades,n,pagos web,13
scotiabank colpatria,movilidad,p,pagos web,13
banco bbva colombia s.a.,aprov.esp.pub,n,pagos web,13
banco popular,publicidad exterior visual,p,pagos web,13
bank of america,impuesto predial,a,pagos web,13
movii,impuesto predial,p,pagos web,13
banco caja social s.a.,impuesto predial,a,pagos web,13
pse - cuentas débito ahorro y,impuesto predial,p,pagos web,13
canadian imperial bank of comm,impuesto predial,p,pagos web,13
"jpmorgan chase bank, n.a.",impuesto predial,n,pagos web,13
cf tech colombia sas,industria y comercio,n,pagos web,13
banco de occidente,impuesto telefonico,p,pagos web,13
scotiabank colpatria,circulacion y transito,a,pagos web,13
bancocajasocial,retencion ica,presencial,pagos presencial,13
clara,industria y comercio,p,pagos web,13
banco santander s.a.,impuesto predial,p,pagos web,13
compania de financiamiento tuy,facilidades,a,pagos web,13
caja de ahorros y pensiones de,impuesto predial,p,pagos web,13
sempli s.a.s.,facilidades,p,pagos web,13
banco de bogota s.a.,facilidades,n,pagos web,13
banco caja social,rendimientos financieros y recursos no ejecutados,p,pagos web,13
banco de costa rica,impuesto predial,p,pagos web,13
banco itau,industria y comercio,a,pagos web,13
colpatria,pot.,presencial,pagos presencial,12
banco de bogotá s.a.,impuesto predial,w,pagos web,12
usaa savings bank,impuesto predial,p,pagos web,12
banco de occidente,industria y comercio,a,pagos web,12
banco colpatria pricesmart,industria y comercio,n,pagos web,12
banco popular,facilidades,n,pagos web,12
bbva,otros ingresos,presencial,pagos presencial,12
banco de bogotá s.a.,facilidades,p,pagos web,12
compania de financiamiento tuy,ingresos no tributarios,p,pagos web,12
banco de occidente,circulacion y transito,n,pagos web,12
idb global federal credit unio,impuesto predial,p,pagos web,12
banco falabella,facilidades,a,pagos web,12
lulo bank,impuesto predial,n,pagos web,12
scotiabank colpatria,estampilla procultura,p,pagos web,12
banco davivienda,recursos fonset,n,pagos web,12
banco davivienda,transferencias,n,pagos web,12
banco av villas,movilidad,p,pagos web,12
bancolombia s.a.- nequi,industria y comercio,n,pagos web,12
bancolombia,estampilla procultura,presencial,pagos presencial,12
bbva,alumbrado publico,p,pagos web,12
banco de bogota,publicidad exterior visual,n,pagos web,12
coop. financ. confiar,industria y comercio,p,pagos web,12
nequi,retencion ica,p,pagos web,12
"rappipay, s.a.s.",industria y comercio,a,pagos web,12
visa - visa,facilidades,p,pagos web,12
citibank,retencion ica,n,pagos web,12
card services for credit union,impuesto predial,n,pagos web,12
banco av villas,estampilla procultura,p,pagos web,12
"banco de occidente, s.a.",industria y comercio,n,pagos web,12
movii,impuesto predial,a,pagos web,11
banco gnb sudameris,retencion ica,n,pagos web,11
payoneer europe limited,impuesto predial,n,pagos web,11
abu dhabi commercial bank,impuesto predial,p,pagos web,11
navy f.c.u.,impuesto predial,p,pagos web,11
leesport bank,impuesto predial,p,pagos web,11
"banco bac san jose, s.a.",impuesto predial,p,pagos web,11
itaú,rentas contractuales,p,pagos web,11
barclays bank plc,impuesto predial,p,pagos web,11
ripley visa,impuesto predial,a,pagos web,11
amex - amex,impuesto predial,n,pagos web,11
banco falabella,circulacion y transito,n,pagos web,11
banco bogota,impuesto predial,a,pagos web,11
banco agrario,otros ingresos,p,pagos web,11
banco popular,alumbrado publico,n,pagos web,11
"banco davivienda, s.a.",industria y comercio,a,pagos web,11
popular,retencion ica,presencial,pagos presencial,11
banco caja social,retencion ica,n,pagos web,11
banco itau,estampilla procultura,p,pagos web,11
bancolombia,retencion ica,a,pagos web,11
banco caja social,circulacion y transito,a,pagos web,11
banco davivienda,espectaculos publicos,p,pagos web,11
banco de bogotá s.a.,facilidades,n,pagos web,11
amex - amex,impuesto predial,p,pagos web,11
scotiabank colpatria,retencion ica,n,pagos web,11
compania de financiamiento tuy,alumbrado publico,p,pagos web,11
banco de occidente,movilidad,n,pagos web,11
banco de occidente,otros ingresos,p,pagos web,11
nequi,servicios,p,pagos web,11
bancoomeva,industria y comercio,p,pagos web,10
banco davivienda,industria y comercio,w,pagos web,10
bancocajasocial,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,10
banco bbva colombia,facilidades,p,pagos web,10
bbva,espectaculos publicos,presencial,pagos presencial,10
colpatria,impuesto telefonico,presencial,pagos presencial,10
nu pagamentos sa,circulacion y transito,p,pagos web,10
"chase bank usa, n.a.",facilidades,p,pagos web,10
citibank n.a.,facilidades,p,pagos web,10
banco colpatria,facilidades,a,pagos web,10
citibank n.a.,impuesto predial,w,pagos web,10
banco union antes giros,impuesto predial,p,pagos web,10
pse - cuentas débito ahorro y,rentas contractuales,p,pagos web,10
consumidor de american express,impuesto predial,p,pagos web,10
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,10
banco de credito e inversiones,impuesto predial,p,pagos web,10
scotiabank colpatria,aprov.esp.pub,p,pagos web,10
"rappipay, s.a.s.",circulacion y transito,p,pagos web,10
confiar,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,10
"banco davivienda, s.a.",facilidades,a,pagos web,10
banco de bogota,impuesto predial,w,pagos web,10
bank of america,industria y comercio,p,pagos web,10
scotiabank colpatria,deguello de ganado,p,pagos web,10
"banco de occidente, s.a.",retencion ica,p,pagos web,10
confiar,servicios,presencial,pagos presencial,10
gnb,pot.,presencial,pagos presencial,10
banco caja social,movilidad,p,pagos web,10
bancolombia s.a.,retencion ica,n,pagos web,9
banco serfinanza s.a,impuesto predial,a,pagos web,9
itaú,alumbrado publico,p,pagos web,9
"bank of america, national asso",impuesto predial,n,pagos web,9
"itau corpbanca colombia, s.a.",facilidades,n,pagos web,9
banco de bogota,movilidad,n,pagos web,9
occidente,pot.,presencial,pagos presencial,9
banco falabella,impuesto predial,w,pagos web,9
evolve bank & trust,impuesto predial,p,pagos web,9
banco popular s.a.,industria y comercio,p,pagos web,9
banco colpatria pricesmart,circulacion y transito,p,pagos web,9
royal bank of canada,impuesto predial,n,pagos web,9
banco davivienda,alumbrado publico,a,pagos web,9
credibanco,impuesto predial,n,pagos web,9
cfa cooperativa financiera,facilidades,n,pagos web,9
bancoomeva s.a.,industria y comercio,a,pagos web,9
bancolombia s.a.,delineación urbana,n,pagos web,9
itaú,facilidades,n,pagos web,9
banco davivienda s.a.,impuesto predial,n,pagos web,9
coltefinanciera,facilidades,p,pagos web,9
bank of america,facilidades,p,pagos web,9
banistmo s.a,impuesto predial,p,pagos web,9
banco caja social s.a.,industria y comercio,p,pagos web,9
n26 gmbh,impuesto predial,n,pagos web,9
scotiabank colpatria,circulacion y transito,n,pagos web,9
pse - cuentas débito ahorro y,publicidad exterior visual,p,pagos web,9
confiar,impuesto telefonico,presencial,pagos presencial,9
banco de bogota,delineación urbana,p,pagos web,9
cotrafa,facilidades,p,pagos web,9
iris,impuesto predial,p,pagos web,9
suncoast schools f.c.u.,impuesto predial,p,pagos web,9
wells fargo bank n.a.,impuesto predial,p,pagos web,9
banco av villas s.a.,industria y comercio,n,pagos web,9
banco caja social,alumbrado publico,n,pagos web,8
banco colpatria pricesmart,rentas contractuales,p,pagos web,8
nequi,aprov.esp.pub,p,pagos web,8
nequi,industria y comercio,w,pagos web,8
cotrafa,retencion ica,presencial,pagos presencial,8
"bancorp bank, the",impuesto predial,p,pagos web,8
giros y finanzas compañia de f,impuesto predial,p,pagos web,8
"bbva bancomer, s.a.",impuesto predial,p,pagos web,8
cfa,ingresos no tributarios,presencial,pagos presencial,8
bank of montreal,impuesto predial,p,pagos web,8
banco av villas s.a.,facilidades,n,pagos web,8
banco av villas s.a.,rentas contractuales,n,pagos web,8
american express,impuesto predial,p,pagos web,8
itaú,industria y comercio,a,pagos web,8
falabella,facilidades,a,pagos web,8
rappipay daviplata,impuesto predial,p,pagos web,8
banco serfinanza,impuesto predial,p,pagos web,8
colpatria,retencion ica,presencial,pagos presencial,8
banco santander-chile,impuesto predial,p,pagos web,8
banco panama,impuesto predial,p,pagos web,8
scotiabank colpatria,impuesto predial,w,pagos web,8
citibank,delineación urbana,p,pagos web,8
goldman sachs bank usa,impuesto predial,n,pagos web,8
banco popular,rentas contractuales,p,pagos web,8
colpatria,aprov.esp.pub,presencial,pagos presencial,8
"pnc bank, national association",impuesto predial,p,pagos web,8
pse - cuentas débito ahorro y,rendimientos financieros y recursos no ejecutados,p,pagos web,8
colpatria,movilidad,presencial,pagos presencial,8
banco av villas,facilidades,a,pagos web,8
pse - cuentas débito ahorro y,rentas contractuales,n,pagos web,8
bancolombia,delineación urbana,a,pagos web,8
"rappipay, s.a.s.",ingresos no tributarios,n,pagos web,8
banco de guayaquil s.a.,impuesto predial,p,pagos web,8
"fia card services, national as",impuesto predial,p,pagos web,8
banco av villas,delineación urbana,p,pagos web,8
financiera juriscoop,facilidades,p,pagos web,8
banco cooperativo coopcentral,circulacion y transito,p,pagos web,8
nu pagamentos sa,alumbrado publico,p,pagos web,8
bancolombia s.a.- nequi,rentas contractuales,p,pagos web,8
banco itau,otros ingresos,n,pagos web,8
ubs ag,impuesto predial,p,pagos web,8
banco coomeva s.a.,industria y comercio,p,pagos web,8
banco itau,rentas contractuales,p,pagos web,8
pse - cuentas débito ahorro y,aprov.esp.pub,n,pagos web,8
banco santander colombia,impuesto predial,p,pagos web,8
compania de financiamiento tuy,impuesto predial,w,pagos web,8
"banco de occidente, s.a.",facilidades,n,pagos web,8
aval soluciones digitales s.a.,impuesto predial,p,pagos web,8
itaú,publicidad exterior visual,p,pagos web,7
banco pichincha s.a.,industria y comercio,n,pagos web,7
bancolombia,ingresos no tributarios,a,pagos web,7
"credit one bank, n.a.",impuesto predial,p,pagos web,7
davivienda,recursos fonset,presencial,pagos presencial,7
morgan stanley private bank na,impuesto predial,p,pagos web,7
hsbc bank canada,impuesto predial,n,pagos web,7
banagrario,impuesto predial,p,pagos web,7
banco falabella,servicios,n,pagos web,7
compania de financiamiento tuy,impuesto telefonico,p,pagos web,7
banco caja social,aprov.esp.pub,n,pagos web,7
banco de reservas de la republ,impuesto predial,n,pagos web,7
citibank,impuesto telefonico,p,pagos web,7
compania de financiamiento tuy,publicidad exterior visual,p,pagos web,7
banco popular s.a.,facilidades,p,pagos web,7
bbva,facilidades,a,pagos web,7
bancamia s.a.,industria y comercio,p,pagos web,7
banco de occidente,transferencias,n,pagos web,7
banco caja social,servicios,n,pagos web,7
canadian tire bank,impuesto predial,p,pagos web,7
movii sa,industria y comercio,p,pagos web,7
movii,industria y comercio,p,pagos web,7
bancocajasocial,publicidad exterior visual,presencial,pagos presencial,7
"rappipay, s.a.s.",ingresos no tributarios,p,pagos web,7
banco de bogota s.a.,circulacion y transito,p,pagos web,7
american express company,facilidades,p,pagos web,7
nu pagamentos sa,impuesto predial,w,pagos web,7
credomatic de costa rica s.a.,impuesto predial,p,pagos web,7
banco itau,delineación urbana,p,pagos web,7
gnb sudameris s.a.,industria y comercio,p,pagos web,7
scotiabank colpatria s.a.,aprov.esp.pub,n,pagos web,7
bogota_1,cuotas partes jubilatorias,presencial,pagos presencial,7
banco de bogota,transferencias,n,pagos web,7
banco davivienda,servicios,p,pagos web,7
banco agrario,retencion ica,n,pagos web,7
"wells fargo bank, n.a.",impuesto predial,a,pagos web,7
banco colpatria,circulacion y transito,a,pagos web,7
scotiabank colpatria,delineación urbana,p,pagos web,7
scotiabank colpatria s.a.,delineación urbana,p,pagos web,7
bcsc,industria y comercio,a,pagos web,7
banco av villas,rentas contractuales,n,pagos web,7
banco itau,otros ingresos,p,pagos web,7
scotiabank colpatria,alumbrado publico,n,pagos web,7
bancolombia s.a.,movilidad,n,pagos web,7
banco cooperativo coopcentral,retencion ica,p,pagos web,7
banco colpatria pricesmart,alumbrado publico,p,pagos web,7
credit suisse,impuesto predial,p,pagos web,7
bancolombia s.a.- nequi,industria y comercio,a,pagos web,7
banco pichincha,impuesto predial,p,pagos web,7
banco av villas,impuesto telefonico,p,pagos web,7
banco bbva colombia s.a.,alumbrado publico,n,pagos web,6
"wirecard card solutions, ltd.",impuesto predial,p,pagos web,6
finandina,movilidad,p,pagos web,6
banco itau,impuesto telefonico,p,pagos web,6
banco falabella,aprov.esp.pub,n,pagos web,6
banco popular s.a.,impuesto predial,a,pagos web,6
"banco popular dominicano, c. p",impuesto predial,p,pagos web,6
pse - cuentas débito ahorro y,alumbrado publico,n,pagos web,6
citibank na,impuesto predial,n,pagos web,6
tuya alkosto,impuesto predial,p,pagos web,6
banco popular,transferencias,n,pagos web,6
pse - cuentas débito ahorro y,recursos fonset,p,pagos web,6
bbva colombia s.a,industria y comercio,a,pagos web,6
latitude finance australia,impuesto predial,p,pagos web,6
bbva colombia s.a,impuesto predial,w,pagos web,6
iris,alumbrado publico,p,pagos web,6
credito s.a.,impuesto predial,p,pagos web,6
sovereign bank,impuesto predial,p,pagos web,6
banco general s.a.,impuesto predial,p,pagos web,6
banco gnb sudameris,facilidades,n,pagos web,6
master - master,impuesto predial,a,pagos web,6
colpatria,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,6
banco itau,alumbrado publico,n,pagos web,6
daviplata,alumbrado publico,p,pagos web,6
servibanca s.a.,industria y comercio,p,pagos web,6
banco falabella,impuesto telefonico,p,pagos web,6
cotrafa,publicidad exterior visual,presencial,pagos presencial,6
gnb sudameris,impuesto predial,a,pagos web,6
"jpmorgan chase bank, n.a.",impuesto predial,a,pagos web,6
"banco davivienda, s.a.",alumbrado publico,p,pagos web,6
banco de bogota s.a.,delineación urbana,p,pagos web,6
visa,rentas contractuales,a,pagos web,6
bank of mead,impuesto predial,p,pagos web,6
scotiabank colpatria s.a.,retencion ica,p,pagos web,6
banco de bogota,ingresos no tributarios,n,pagos web,6
cf tech colombia sas,aprov.esp.pub,n,pagos web,6
banco caja social s.a.,facilidades,p,pagos web,6
confiar cooperativa financiera,rentas contractuales,n,pagos web,6
consumidor de american express,facilidades,p,pagos web,6
american express us consumer,facilidades,p,pagos web,6
scotiabank colpatria s.a.,facilidades,a,pagos web,6
banco davivienda s.a.,industria y comercio,a,pagos web,6
"itau corpbanca colombia, s.a.",circulacion y transito,p,pagos web,6
nequi,ingresos no tributarios,n,pagos web,6
banco colpatria,delineación urbana,p,pagos web,6
banco davivienda,movilidad,n,pagos web,6
nequi,ingresos no tributarios,p,pagos web,6
banco colpatria,impuesto telefonico,p,pagos web,6
wells fargo,impuesto predial,p,pagos web,6
banco colpatria,ingresos no tributarios,p,pagos web,6
diners club,impuesto predial,p,pagos web,6
bancolombia s.a.,servicios,p,pagos web,6
scotiabank colpatria,recursos fonset,n,pagos web,6
"itau corpbanca colombia, s.a.",retencion ica,p,pagos web,6
avvillas,aprov.esp.pub,presencial,pagos presencial,6
bank of hawaii,impuesto predial,p,pagos web,6
ripley visa,impuesto predial,n,pagos web,6
ban100,impuesto predial,p,pagos web,6
banco caja social,delineación urbana,p,pagos web,6
banco santander s.a.,servicios,n,pagos web,6
finandina,industria y comercio,a,pagos web,6
jpmorgan chase bank n.a.,impuesto predial,p,pagos web,6
banco serfinanza s.a,facilidades,n,pagos web,6
banco serfinanza s.a,facilidades,p,pagos web,6
itau corpbanca colombia s.a.,industria y comercio,a,pagos web,6
"capital one, national associat",facilidades,p,pagos web,6
"rappipay, s.a.s.",rentas contractuales,n,pagos web,6
bancamia s.a.,impuesto predial,a,pagos web,6
"banco davivienda, s.a.",circulacion y transito,p,pagos web,6
banco de chile,impuesto predial,p,pagos web,6
regions bank,impuesto predial,p,pagos web,6
"capital one bank (usa), n.a.",alumbrado publico,p,pagos web,5
branch banking and trust compa,impuesto predial,p,pagos web,5
falabella,circulacion y transito,p,pagos web,5
deutscher sparkassen und girov,impuesto predial,p,pagos web,5
confiar cooperativa financiera,impuesto telefonico,p,pagos web,5
coofinep cooperativa financier,impuesto predial,n,pagos web,5
dz bank ag,facilidades,p,pagos web,5
hsbc,impuesto predial,n,pagos web,5
citibank,ingresos no tributarios,p,pagos web,5
daviplata,circulacion y transito,a,pagos web,5
coopcentral,industria y comercio,p,pagos web,5
gnb sudameris,impuesto predial,n,pagos web,5
"hsbc bank (panama), s.a.",impuesto predial,p,pagos web,5
confiar cooperativa financiera,facilidades,n,pagos web,5
"caixabank, s.a.",servicios,n,pagos web,5
"hsbc bank nevada, n.a.",impuesto predial,p,pagos web,5
colpatria,impuesto predial,a,pagos web,5
colpatria,facilidades,p,pagos web,5
compania de financiamiento tuy,delineación urbana,p,pagos web,5
dz bank ag deutsche zentral- g,impuesto predial,p,pagos web,5
jeeves technologies colombia s,impuesto predial,p,pagos web,5
finandina,facilidades,a,pagos web,5
coofinep,impuesto predial,presencial,pagos presencial,5
lulo bank,facilidades,p,pagos web,5
confiar cooperativa financiera,rendimientos financieros y recursos no ejecutados,p,pagos web,5
financiera coomeva,industria y comercio,n,pagos web,5
itau corpbanca colombia s.a.,circulacion y transito,p,pagos web,5
citibank n.a.,impuesto predial,a,pagos web,5
"jpmorgan chase bank, n.a.",industria y comercio,p,pagos web,5
banco serfinanza,industria y comercio,p,pagos web,5
banco de occidente,aprov.esp.pub,p,pagos web,5
banco cooperativo coopcentral,facilidades,a,pagos web,5
bancoomeva,facilidades,p,pagos web,5
nexi payments spa,impuesto predial,a,pagos web,5
nequi,retencion ica,n,pagos web,5
"pnc bank, n.a.",impuesto predial,p,pagos web,5
scotiabank colpatria s.a.,ingresos no tributarios,p,pagos web,5
scotiabank colpatria s.a.,impuesto telefonico,p,pagos web,5
scotiabank colpatria s.a.,circulacion y transito,n,pagos web,5
"bank of america, national asso",industria y comercio,p,pagos web,5
scotiabank colpatria,servicios,n,pagos web,5
banco colpatria pricesmart,aprov.esp.pub,n,pagos web,5
popular,impuesto telefonico,presencial,pagos presencial,5
"bankinter, s.a.",impuesto predial,p,pagos web,5
pse - cuentas débito ahorro y,aprov.esp.pub,p,pagos web,5
bayerische landesbank,impuesto predial,p,pagos web,5
banco coomeva s.a.,industria y comercio,n,pagos web,5
banco cooperativo coopcentral,alumbrado publico,p,pagos web,5
banco agrario,circulacion y transito,p,pagos web,5
banco av villas s.a.,circulacion y transito,n,pagos web,5
sempli s.a.s.,industria y comercio,n,pagos web,5
serfinansa,impuesto predial,a,pagos web,5
banco serfinanza s.a,impuesto predial,n,pagos web,5
nu pagamentos sa,industria y comercio,a,pagos web,5
banco bbva colombia s.a.,publicidad exterior visual,n,pagos web,5
bancolombia - botón bancolombi,otros ingresos,p,pagos web,5
bancolombia - botón bancolombi,recursos fonset,p,pagos web,5
bancolombia cayman,impuesto predial,n,pagos web,5
bancolombia,aprov.esp.pub,a,pagos web,5
banco bbva colombia s.a.,servicios,n,pagos web,5
"banco santander, s.a,",impuesto predial,p,pagos web,5
"tarjetas banamex, sa de cv, so",impuesto predial,p,pagos web,5
banco santander,alumbrado publico,p,pagos web,5
bancolombia s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,5
bancolombia s.a.- nequi,alumbrado publico,p,pagos web,5
bancolombia s.a.- nequi,aprov.esp.pub,p,pagos web,5
banco bilbao vizcaya argentari,circulacion y transito,p,pagos web,5
swiss post,facilidades,p,pagos web,5
banco bilbao vizcaya argentari,industria y comercio,a,pagos web,5
bancamia s.a.,facilidades,p,pagos web,5
president's choice bank,impuesto predial,p,pagos web,5
nu pagamentos sa,publicidad exterior visual,n,pagos web,5
"santander consumo, s.a. de c.v",impuesto predial,p,pagos web,5
revolut ltd,impuesto predial,p,pagos web,5
"rappipay, s.a.s.",alumbrado publico,p,pagos web,5
banco diners club del ecuador,impuesto predial,p,pagos web,5
american express us,impuesto predial,n,pagos web,5
american express company,impuesto predial,a,pagos web,5
movii s.a.,industria y comercio,p,pagos web,5
avvillas,rentas contractuales,presencial,pagos presencial,5
visa - visa,servicios,n,pagos web,5
yorkshire bank,impuesto predial,p,pagos web,5
banco gnb sudameris,impuesto telefonico,p,pagos web,5
bbva colombia s.a,circulacion y transito,n,pagos web,5
"santander bank, na",impuesto predial,n,pagos web,4
banco bilbao vizcaya argentari,industria y comercio,n,pagos web,4
confiar cooperativa financiera,aprov.esp.pub,n,pagos web,4
banco de bogotá s.a.,publicidad exterior visual,p,pagos web,4
iris,industria y comercio,n,pagos web,4
banco bilbao vizcaya argentari,facilidades,n,pagos web,4
banco de bogotá s.a.,rentas contractuales,p,pagos web,4
banco procredit,industria y comercio,p,pagos web,4
banco popular,facilidades,a,pagos web,4
banco santander colombia,movilidad,p,pagos web,4
credibanco,impuesto predial,a,pagos web,4
banco de bogota,industria y comercio,w,pagos web,4
gnb,delineación urbana,presencial,pagos presencial,4
hsbc,industria y comercio,p,pagos web,4
banco bbva colombia s.a.,servicios,p,pagos web,4
occidente,estampilla procultura,presencial,pagos presencial,4
"rappipay, s.a.s.",delineación urbana,n,pagos web,4
hsbc bank (panama) s.a.,impuesto predial,a,pagos web,4
banco de credito del peru,impuesto predial,p,pagos web,4
choice financial group,industria y comercio,p,pagos web,4
banco de occidente s.a.,circulacion y transito,p,pagos web,4
"banco de occidente (panama), s",impuesto predial,p,pagos web,4
redeban multicolor s.a.,circulacion y transito,a,pagos web,4
home national bank,impuesto predial,p,pagos web,4
banco cooperativo coopcentral,impuesto predial,w,pagos web,4
"banco bolivariano, c.a.",impuesto predial,p,pagos web,4
pse - cuentas débito ahorro y,movilidad,p,pagos web,4
coofinep cooperativa financier,industria y comercio,p,pagos web,4
pse - cuentas débito ahorro y,ingresos no tributarios,p,pagos web,4
scotiabank colpatria,otros ingresos,n,pagos web,4
hsbc bank plc,impuesto predial,p,pagos web,4
banco davivienda,deguello de ganado,p,pagos web,4
banco itau,circulacion y transito,n,pagos web,4
banco coomeva s.a.,circulacion y transito,p,pagos web,4
scotiabank colpatria,rentas contractuales,n,pagos web,4
banco davivienda,delineación urbana,n,pagos web,4
giros y finanzas compañia de f,facilidades,p,pagos web,4
gnb sudameris,circulacion y transito,p,pagos web,4
coltefinanciera,impuesto predial,n,pagos web,4
gnb,servicios,presencial,pagos presencial,4
banco colpatria pricesmart,facilidades,a,pagos web,4
banco davivienda,impuesto telefonico,n,pagos web,4
banco occidente,retencion ica,p,pagos web,4
banco davivienda,ingresos no tributarios,n,pagos web,4
banco colpatria,rentas contractuales,p,pagos web,4
"banco davivienda, s.a.",circulacion y transito,n,pagos web,4
banco pichincha c.a.,impuesto predial,p,pagos web,4
"grupo absa, ltd",impuesto predial,p,pagos web,4
banco caja social s.a.,industria y comercio,n,pagos web,4
citibank privatkunden ag and c,impuesto predial,p,pagos web,4
cotrafa,industria y comercio,a,pagos web,4
commercial bank of qatar (q.s.,impuesto predial,p,pagos web,4
"banco davivienda, s.a.",retencion ica,p,pagos web,4
helm bank,impuesto predial,p,pagos web,4
"pnc bank, global investment se",impuesto predial,p,pagos web,4
"banco davivienda, s.a.",servicios,n,pagos web,4
compania de financiamiento tuy,aprov.esp.pub,p,pagos web,4
"rappipay, s.a.s.",circulacion y transito,n,pagos web,4
itau corpbanca colombia s.a.,publicidad exterior visual,p,pagos web,4
banco av villas s.a.,circulacion y transito,p,pagos web,4
nequi,publicidad exterior visual,p,pagos web,4
american express us consumer,impuesto predial,a,pagos web,4
"bank of america, n.a.",impuesto predial,n,pagos web,4
"teller, a.s.",impuesto predial,n,pagos web,4
cf tech colombia sas,impuesto predial,p,pagos web,4
"bank of america, national asso",impuesto predial,a,pagos web,4
laegernes pensionsbank,impuesto predial,p,pagos web,4
"bank of america, national asso",industria y comercio,n,pagos web,4
bank of hawaii,impuesto predial,n,pagos web,4
banco av villas,otros ingresos,n,pagos web,4
amex canada globestar,impuesto predial,p,pagos web,4
banco av villas,impuesto predial,w,pagos web,4
bank of scotland plc,impuesto predial,p,pagos web,4
tuya alkosto,facilidades,p,pagos web,4
banco av villas,circulacion y transito,n,pagos web,4
daviplata,rentas contractuales,a,pagos web,4
multibank inc.,impuesto predial,p,pagos web,4
daviplata,retencion ica,p,pagos web,4
davivienda s.a.,impuesto predial,p,pagos web,4
financiera juriscoop,impuesto predial,n,pagos web,4
u.s. bank national association,impuesto predial,p,pagos web,4
jeeves technologies colombia s,retencion ica,p,pagos web,4
davivienda,transferencias,presencial,pagos presencial,4
"capital one bank (usa), n.a.",impuesto predial,a,pagos web,4
bancaja (caja de ahorros de va,impuesto predial,p,pagos web,4
bbva,facilidades,n,pagos web,4
usaa savings bank,impuesto predial,n,pagos web,4
bac international bank inc,impuesto predial,p,pagos web,4
bbva colombia s.a,aprov.esp.pub,n,pagos web,4
nium pte. ltd.,impuesto predial,n,pagos web,4
bank of america national assoc,impuesto predial,p,pagos web,4
lloyds tsb bank plc,impuesto predial,p,pagos web,4
bancolombia s.a.- nequi,circulacion y transito,p,pagos web,4
bancolombia s.a.,alumbrado publico,a,pagos web,4
bancolombia s.a.,impuesto telefonico,n,pagos web,4
bancolombia s.a.,ingresos no tributarios,n,pagos web,4
master - master,impuesto predial,n,pagos web,4
space coast c.u.,servicios,p,pagos web,4
charles schwab bank,impuesto predial,n,pagos web,4
american express company,facilidades,n,pagos web,4
cfa cooperativa financiera,retencion ica,p,pagos web,4
caixa d'estalvis unio de caixe,servicios,n,pagos web,4
bancomer,impuesto predial,p,pagos web,4
banco bbva colombia s.a.,circulacion y transito,a,pagos web,4
bancolombia s.a.,publicidad exterior visual,n,pagos web,4
starling bank limited,impuesto predial,p,pagos web,4
visa - visa,facilidades,n,pagos web,4
daviplata,circulacion y transito,n,pagos web,4
daviplata,facilidades,a,pagos web,4
"itau corpbanca colombia, s.a.",retencion ica,n,pagos web,4
bancolombia s.a.- nequi,ingresos no tributarios,p,pagos web,4
td bank n.a.,impuesto predial,p,pagos web,4
"banco de credito de bolivia, s",impuesto predial,p,pagos web,3
"banco davivienda, s.a.",impuesto telefonico,p,pagos web,3
american express,impuesto predial,n,pagos web,3
confiar,publicidad exterior visual,presencial,pagos presencial,3
banco de la republica oriental,impuesto predial,p,pagos web,3
davivienda,sobretasa a la gasolina,presencial,pagos presencial,3
amex espana card globestar cha,impuesto predial,p,pagos web,3
"wells fargo bank, n.a.",industria y comercio,p,pagos web,3
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,3
visa - visa,impuesto predial,a,pagos web,3
banco davivienda s.a.,facilidades,n,pagos web,3
"europay norge, a.s.",impuesto predial,n,pagos web,3
visions f.c.u.,facilidades,p,pagos web,3
ripley visa,industria y comercio,a,pagos web,3
fia card services national ass,impuesto predial,p,pagos web,3
confiar cooperativa financiera,circulacion y transito,p,pagos web,3
banco de bogotá s.a.,alumbrado publico,p,pagos web,3
