Banco,Contrato,Origen,Tipo archivo recaudo,Valor pago
banco popular,impuesto predial,n,pagos web,664886711
banco popular,delineación urbana,p,pagos web,662729649
coofinep,industria y comercio,presencial,pagos presencial,655690082
bancolombia,movilidad,n,pagos web,653540400
bancolombia,alumbrado publico,n,pagos web,635255941
bbva,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,623300374
banco davivienda,recursos fonset,n,pagos web,617587000
confiar cooperativa financiera,facilidades,p,pagos web,603498709
bcsc,impuesto predial,p,pagos web,593431298
citibank n.a.,impuesto predial,p,pagos web,591281985
bogota_1,publicidad exterior visual,presencial,pagos presencial,587444504
bancolombia,transferencias,n,pagos web,570300666
banco caja social,recursos fonset,p,pagos web,569428590
banco falabella,impuesto predial,n,pagos web,566435959
bogota_1,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,562253227
citibank,alumbrado publico,p,pagos web,543954252
bancolombia,industria y comercio,w,pagos web,534460642
banco caja social,rentas contractuales,p,pagos web,531481402
banco de occidente,rendimientos financieros y recursos no ejecutados,n,pagos web,528316061
finandina,impuesto predial,p,pagos web,520028554
banco de bogota,rendimientos financieros y recursos no ejecutados,n,pagos web,516515120
nequi,facilidades,p,pagos web,514416321
banco davivienda,facilidades,n,pagos web,513190841
bancolombia,circulacion y transito,p,pagos web,508118337
banco de bogota,rentas contractuales,n,pagos web,507021625
scotiabank colpatria,impuesto predial,a,pagos web,500834942
scotiabank colpatria s.a.,impuesto predial,n,pagos web,474429416
"banco davivienda, s.a.",industria y comercio,p,pagos web,470735374
banco popular,transferencias,p,pagos web,470045172
scotiabank colpatria,alumbrado publico,p,pagos web,465868337
popular,circulacion y transito,presencial,pagos presencial,460874271
bancolombia - botón bancolombi,rentas contractuales,p,pagos web,460608117
banco occidente,impuesto predial,p,pagos web,447420367
banco bogota,impuesto predial,p,pagos web,446914956
banco davivienda,espectaculos publicos,p,pagos web,445927337
nequi,industria y comercio,p,pagos web,445020988
banco bbva colombia s.a.,impuesto predial,a,pagos web,443211084
falabella,facilidades,p,pagos web,439117918
itaú,industria y comercio,p,pagos web,438605024
banco davivienda,delineación urbana,p,pagos web,435276269
banco de bogota,retencion ica,n,pagos web,432874290
banco av villas,impuesto predial,n,pagos web,432286129
redeban multicolor s.a.,impuesto predial,p,pagos web,424484742
bogota_1,circulacion y transito,presencial,pagos presencial,422222654
colpatria,impuesto predial,presencial,pagos presencial,421304045
banco de bogota,impuesto predial,a,pagos web,417799710
banco de bogota,alumbrado publico,p,pagos web,404170072
banco de occidente,retencion ica,n,pagos web,401267708
banco de bogota,movilidad,p,pagos web,399366600
banco popular,facilidades,p,pagos web,395553928
popular,impuesto predial,presencial,pagos presencial,395405628
financiera coomeva,impuesto predial,p,pagos web,391887646
banco de bogota,rentas contractuales,p,pagos web,391664834
banco falabella,impuesto predial,a,pagos web,390629727
colpatria,recursos fonset,presencial,pagos presencial,389883000
banco davivienda,alumbrado publico,n,pagos web,382760908
banco de bogota,estampilla procultura,p,pagos web,377447000
citibank,impuesto predial,a,pagos web,368515738
banco davivienda,publicidad exterior visual,p,pagos web,363739769
avvillas,industria y comercio,presencial,pagos presencial,356583734
banco davivienda,deguello de ganado,p,pagos web,347956400
banco av villas,recursos fonset,n,pagos web,347052000
hsbc,impuesto predial,p,pagos web,346683740
banco davivienda,aprov.esp.pub,p,pagos web,344114631
coltefinanciera,industria y comercio,p,pagos web,341785438
davivienda,otros ingresos,presencial,pagos presencial,341783161
banco de bogota,ingresos no tributarios,p,pagos web,335529454
banco de bogotá s.a.,industria y comercio,p,pagos web,331949850
banco bbva colombia s.a.,ingresos no tributarios,p,pagos web,329658513
banco colpatria,impuesto predial,n,pagos web,327309945
bbva,impuesto predial,a,pagos web,327026312
avvillas,impuesto predial,presencial,pagos presencial,325006479
banco davivienda,rentas contractuales,n,pagos web,324781933
banco de bogota,facilidades,n,pagos web,315208735
banco de occidente,alumbrado publico,p,pagos web,314220376
banco de occidente,movilidad,p,pagos web,313929200
bbva,ingresos no tributarios,presencial,pagos presencial,311699299
banco popular,industria y comercio,n,pagos web,309539390
bancolombia - botón bancolombi,rentas contractuales,n,pagos web,307920428
american express company,impuesto predial,p,pagos web,307902685
confiar,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,306223815
bbva,facilidades,p,pagos web,306113408
gnb,retencion ica,presencial,pagos presencial,305731000
banco av villas,estampilla procultura,p,pagos web,296969000
bancolombia,servicios,presencial,pagos presencial,295706735
american express us consumer,impuesto predial,p,pagos web,294926642
banco popular,retencion ica,n,pagos web,294405192
"rappipay, s.a.s.",impuesto predial,n,pagos web,293974748
bancolombia cayman,impuesto predial,p,pagos web,293477773
banco bbva colombia s.a.,retencion ica,n,pagos web,291025941
falabella,industria y comercio,p,pagos web,281160237
banco pichincha s.a.,impuesto predial,p,pagos web,280545503
avvillas,pot.,presencial,pagos presencial,278838873
colpatria,préstamos hipotecarios,presencial,pagos presencial,277076136
"chase bank usa, n.a.",impuesto predial,n,pagos web,272713663
banco cooperativo coopcentral,facilidades,p,pagos web,271332524
bancolombia,publicidad exterior visual,n,pagos web,267819266
compania de financiamiento tuy,impuesto predial,n,pagos web,264210705
"banco de occidente, s.a.",industria y comercio,p,pagos web,262018735
colpatria,otros ingresos,presencial,pagos presencial,261494487
banco itau,facilidades,p,pagos web,260855705
nequi,impuesto predial,a,pagos web,259591384
banco bbva colombia s.a.,publicidad exterior visual,p,pagos web,258855715
"itau corpbanca colombia, s.a.",industria y comercio,p,pagos web,255065167
"rappipay, s.a.s.",industria y comercio,p,pagos web,254635152
nequi,impuesto predial,n,pagos web,254559300
gnb sudameris,impuesto predial,p,pagos web,250758271
banco itau,delineación urbana,n,pagos web,250713840
"banco davivienda, s.a.",impuesto predial,n,pagos web,248836630
banco caja social,rendimientos financieros y recursos no ejecutados,p,pagos web,245447837
bancocajasocial,delineación urbana,presencial,pagos presencial,245270370
cfa,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,243109279
scotiabank colpatria s.a.,facilidades,p,pagos web,240451854
confiar,préstamos hipotecarios,presencial,pagos presencial,238047275
banco davivienda,estampilla procultura,p,pagos web,235848180
bancolombia,estampilla procultura,n,pagos web,233049000
bancocajasocial,ingresos no tributarios,presencial,pagos presencial,232961349
chase bank usa n.a.,impuesto predial,p,pagos web,232949440
bbva,impuesto predial,n,pagos web,226601785
"itau corpbanca colombia, s.a.",impuesto predial,n,pagos web,225761167
nu pagamentos sa,impuesto predial,n,pagos web,225689926
banco bbva colombia s.a.,estampilla procultura,n,pagos web,223584000
bbva,circulacion y transito,presencial,pagos presencial,223532861
davivienda,publicidad exterior visual,presencial,pagos presencial,221875988
banco bbva colombia s.a.,delineación urbana,p,pagos web,218851910
bancolombia,estampilla procultura,presencial,pagos presencial,217697492
banco gnb sudameris,retencion ica,n,pagos web,216422000
banco de bogota,delineación urbana,p,pagos web,214202785
banco falabella,industria y comercio,n,pagos web,213823848
banco popular,estampilla procultura,p,pagos web,211865106
compania de financiamiento tuy,impuesto predial,a,pagos web,211842549
iris,industria y comercio,p,pagos web,210976688
banco av villas,facilidades,p,pagos web,208384046
scotiabank colpatria s.a.,impuesto predial,a,pagos web,207457769
"capital one bank (usa), n.a.",impuesto predial,p,pagos web,204162533
bbva colombia s.a,industria y comercio,p,pagos web,201263705
banco davivienda,aprov.esp.pub,n,pagos web,196312733
scotiabank colpatria,ingresos no tributarios,p,pagos web,195624127
bancoomeva s.a.,retencion ica,p,pagos web,195442000
banco colpatria,impuesto predial,a,pagos web,194269286
daviplata,impuesto predial,p,pagos web,192802251
popular,movilidad,presencial,pagos presencial,192196987
banco itau,ingresos no tributarios,p,pagos web,191808715
"banco de occidente, s.a.",impuesto predial,n,pagos web,191208127
banco davivienda,ingresos no tributarios,p,pagos web,191117850
bogota_1,movilidad,presencial,pagos presencial,189870450
nu pagamentos sa,facilidades,p,pagos web,189782251
bbva colombia s.a,impuesto predial,n,pagos web,189254804
banco de bogota,publicidad exterior visual,p,pagos web,188659552
banco bbva colombia s.a.,transferencias,n,pagos web,188288677
confiar cooperativa financiera,rentas contractuales,p,pagos web,183990644
"capital one, national associat",impuesto predial,p,pagos web,183721338
cotrafa,circulacion y transito,presencial,pagos presencial,183077945
banco pichincha s.a.,facilidades,n,pagos web,182000000
banco colpatria pricesmart,industria y comercio,p,pagos web,176745680
cotrafa,rentas contractuales,presencial,pagos presencial,175731643
"rappipay, s.a.s.",facilidades,p,pagos web,171538348
scotiabank colpatria s.a.,industria y comercio,n,pagos web,170932262
confiar,circulacion y transito,presencial,pagos presencial,170570586
itaú,impuesto predial,n,pagos web,170498052
gnb,impuesto predial,presencial,pagos presencial,170242814
banco itau,facilidades,n,pagos web,170226825
clara,industria y comercio,p,pagos web,169760220
nu pagamentos sa,industria y comercio,p,pagos web,169704345
av villas,impuesto predial,p,pagos web,169646788
bancolombia,impuesto predial,w,pagos web,167743851
bbva colombia s.a,facilidades,p,pagos web,165944486
bancolombia s.a.,retencion ica,p,pagos web,164364304
bancolombia - botón bancolombi,impuesto predial,w,pagos web,164292128
banco cooperativo coopcentral,industria y comercio,p,pagos web,164285539
bancolombia - botón bancolombi,aprov.esp.pub,n,pagos web,161000422
iris,alumbrado publico,p,pagos web,160746771
itaú,facilidades,p,pagos web,159235571
banco caja social,delineación urbana,p,pagos web,159175230
cotrafa,impuesto predial,p,pagos web,156487709
visa - visa,impuesto predial,p,pagos web,156196156
banco bbva colombia s.a.,otros ingresos,p,pagos web,155799658
banco coomeva s.a.,impuesto predial,p,pagos web,155620580
bancoomeva s.a.,industria y comercio,n,pagos web,151031447
"banco de occidente, s.a.",facilidades,p,pagos web,149994105
banco colpatria pricesmart,facilidades,p,pagos web,149834647
banco de bogota s.a.,industria y comercio,p,pagos web,147244466
bancocajasocial,préstamos hipotecarios,presencial,pagos presencial,145993919
occidente,multas codigo de policia,presencial,pagos presencial,145535668
banco bbva colombia s.a.,alumbrado publico,p,pagos web,144399486
"bank of america, national asso",impuesto predial,p,pagos web,143633125
avvillas,préstamos hipotecarios,presencial,pagos presencial,143420283
banco av villas,delineación urbana,p,pagos web,141264860
cf tech colombia sas,industria y comercio,p,pagos web,141240649
banco cooperativo coopcentral,impuesto predial,n,pagos web,140684424
bogota_1,pot.,presencial,pagos presencial,140179808
cotrafa,delineación urbana,presencial,pagos presencial,139566680
bbva,cuotas partes jubilatorias,presencial,pagos presencial,138652517
bancolombia - botón bancolombi,delineación urbana,p,pagos web,137999100
"banco davivienda, s.a.",facilidades,p,pagos web,137099127
banco agrario,impuesto predial,n,pagos web,136425574
"rappipay, s.a.s.",impuesto predial,a,pagos web,136160329
bancolombia - botón bancolombi,industria y comercio,a,pagos web,134357489
itaú,impuesto predial,a,pagos web,134295539
bancolombia - botón bancolombi,facilidades,a,pagos web,133827445
banco davivienda,transferencias,n,pagos web,133299488
bbva,alumbrado publico,presencial,pagos presencial,132612014
nu pagamentos sa,impuesto predial,a,pagos web,132376439
barclays bank delaware,impuesto predial,p,pagos web,132366684
bank of america,impuesto predial,n,pagos web,132063529
cotrafa,industria y comercio,p,pagos web,131050776
banco de bogotá s.a.,industria y comercio,n,pagos web,130662991
gnb sudameris,facilidades,p,pagos web,130335697
banco de occidente,estampilla procultura,p,pagos web,128286000
banco caja social s.a.,impuesto predial,p,pagos web,125988210
"wells fargo bank, n.a.",impuesto predial,p,pagos web,125747185
banco caja social,publicidad exterior visual,p,pagos web,125415096
banco caja social,impuesto predial,a,pagos web,125341397
bcsc,industria y comercio,p,pagos web,124635742
colpatria,pot.,presencial,pagos presencial,123106595
banco davivienda s.a.,industria y comercio,p,pagos web,122982095
bbva,rentas contractuales,presencial,pagos presencial,122485742
banco falabella,facilidades,n,pagos web,121474155
coltefinanciera,impuesto predial,p,pagos web,120659926
gnb,delineación urbana,presencial,pagos presencial,120369000
banco pichincha s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,120342356
banco occidente,industria y comercio,p,pagos web,120091570
banco de bogota s.a.,facilidades,p,pagos web,119814441
occidente,publicidad exterior visual,presencial,pagos presencial,119794944
cfa cooperativa financiera,impuesto predial,p,pagos web,119759106
scotiabank colpatria,facilidades,n,pagos web,116252440
bancolombia,otros ingresos,n,pagos web,115858090
bogota_1,alumbrado publico,presencial,pagos presencial,115684587
banco colpatria pricesmart,impuesto predial,n,pagos web,113653196
banco de bogota s.a.,impuesto predial,n,pagos web,112762827
cfa,industria y comercio,presencial,pagos presencial,112735824
banco colpatria,facilidades,n,pagos web,112602351
banco de occidente,facilidades,n,pagos web,112044128
banco colpatria pricesmart,impuesto predial,a,pagos web,111883223
cotrafa,préstamos hipotecarios,presencial,pagos presencial,111513971
cfa,impuesto predial,presencial,pagos presencial,110716069
bancolombia s.a.,delineación urbana,p,pagos web,110293638
colpatria,alumbrado publico,presencial,pagos presencial,110240879
banco itau,recursos fonset,p,pagos web,109828000
occidente,movilidad,presencial,pagos presencial,109600747
popular,otros ingresos,presencial,pagos presencial,109592264
banco av villas s.a.,industria y comercio,p,pagos web,108835650
"jpmorgan chase bank, n.a.",impuesto predial,p,pagos web,108698860
banco de occidente,impuesto predial,a,pagos web,108643531
nequi,industria y comercio,n,pagos web,107051408
cf tech colombia sas,industria y comercio,n,pagos web,105512285
cotrafa,impuesto predial,presencial,pagos presencial,105464867
banco procredit,industria y comercio,p,pagos web,104524185
ripley visa,impuesto predial,p,pagos web,104080693
bbva,pot.,presencial,pagos presencial,104067116
banco popular,recursos fonset,n,pagos web,103725000
banco av villas s.a.,impuesto predial,n,pagos web,103594594
bancolombia s.a.- nequi,impuesto predial,p,pagos web,102724222
banco itau,impuesto predial,a,pagos web,102431730
bancolombia,rentas contractuales,a,pagos web,102035389
bancocajasocial,aprov.esp.pub,presencial,pagos presencial,102013723
banco bbva colombia s.a.,facilidades,n,pagos web,101878465
confiar,ingresos no tributarios,presencial,pagos presencial,101540366
banco av villas s.a.,facilidades,p,pagos web,101518617
banco de occidente s.a.,industria y comercio,p,pagos web,101059883
banco itau,delineación urbana,p,pagos web,100036410
avvillas,alumbrado publico,presencial,pagos presencial,99696185
finandina,industria y comercio,p,pagos web,95534529
sempli s.a.s.,industria y comercio,p,pagos web,95017692
banco davivienda,movilidad,p,pagos web,94445800
banco gnb sudameris,rendimientos financieros y recursos no ejecutados,n,pagos web,94229898
scotiabank colpatria,rentas contractuales,p,pagos web,93791673
bancolombia,ingresos no tributarios,n,pagos web,92293552
banco santander,industria y comercio,p,pagos web,90733420
confiar cooperativa financiera,rentas contractuales,n,pagos web,89925448
payoneer europe limited,impuesto predial,p,pagos web,89444107
davivienda,multas codigo de policia,presencial,pagos presencial,88944045
banco de occidente,publicidad exterior visual,p,pagos web,88611598
compania de financiamiento tuy,industria y comercio,n,pagos web,88426586
banco de bogota s.a.,impuesto predial,a,pagos web,86764964
banco av villas,impuesto predial,a,pagos web,86245176
colpatria,ingresos no tributarios,presencial,pagos presencial,85892799
banco av villas,transferencias,p,pagos web,85090022
banco caja social,retencion ica,n,pagos web,84842724
popular,ingresos no tributarios,presencial,pagos presencial,84721667
american express us consumer,impuesto predial,n,pagos web,84588960
gnb,rentas contractuales,presencial,pagos presencial,84303294
banco gnb sudameris,delineación urbana,n,pagos web,84298880
citibank,ingresos no tributarios,p,pagos web,83605461
nequi,facilidades,n,pagos web,83424927
banco colpatria,industria y comercio,n,pagos web,83331713
banco de occidente,delineación urbana,n,pagos web,83207480
banco cooperativo coopcentral,impuesto predial,a,pagos web,83082328
banco de occidente,deguello de ganado,p,pagos web,83063400
banco davivienda,facilidades,a,pagos web,83019703
itau corpbanca colombia s.a.,industria y comercio,p,pagos web,82826803
coltefinanciera,facilidades,n,pagos web,82790652
banco popular s.a.,impuesto predial,p,pagos web,82739473
banco bogota,facilidades,p,pagos web,82188278
bbva colombia s.a,impuesto predial,a,pagos web,81959814
banco caja social,facilidades,n,pagos web,80598886
banco bilbao vizcaya argentari,industria y comercio,p,pagos web,80024079
banco davivienda,industria y comercio,a,pagos web,79761916
bancolombia s.a.,impuesto predial,w,pagos web,78811004
compania de financiamiento tuy,facilidades,n,pagos web,78417926
bancolombia - botón bancolombi,ingresos no tributarios,p,pagos web,78386085
pse - cuentas débito ahorro y,industria y comercio,p,pagos web,78335990
bancolombia - botón bancolombi,aprov.esp.pub,p,pagos web,78193695
citibank n.a.,impuesto predial,n,pagos web,77460735
confiar,retencion ica,presencial,pagos presencial,77231430
banco de bogotá s.a.,impuesto predial,n,pagos web,77209421
davivienda,aprov.esp.pub,presencial,pagos presencial,77045492
banco bbva colombia s.a.,rentas contractuales,p,pagos web,76346413
caja social bcs,impuesto predial,p,pagos web,75322010
asociacion gremial de instituc,impuesto predial,p,pagos web,75212444
banco av villas,movilidad,p,pagos web,75118700
citibank,retencion ica,n,pagos web,74189000
av villas,industria y comercio,p,pagos web,73808625
"itau corpbanca colombia, s.a.",facilidades,p,pagos web,73685873
bogota_1,cuotas partes jubilatorias,presencial,pagos presencial,73390876
bancolombia - botón bancolombi,industria y comercio,w,pagos web,73335667
"chase bank usa, n.a.",impuesto predial,a,pagos web,73056130
popular,retencion ica,presencial,pagos presencial,72649000
avvillas,ingresos no tributarios,presencial,pagos presencial,72583681
confiar,rentas contractuales,presencial,pagos presencial,72191678
bancocajasocial,rentas contractuales,presencial,pagos presencial,72051984
bancolombia s.a.,industria y comercio,a,pagos web,71819268
"rappipay, s.a.s.",industria y comercio,n,pagos web,71096844
banco bogota,industria y comercio,p,pagos web,71094882
banco itau,transferencias,p,pagos web,70645099
bancolombia,circulacion y transito,n,pagos web,69852153
banco de bogotá s.a.,impuesto predial,a,pagos web,69801351
banco popular,impuesto predial,a,pagos web,69562776
bancolombia s.a.,alumbrado publico,p,pagos web,68910985
banco av villas,estampilla procultura,n,pagos web,68769000
banco bilbao vizcaya argentari,impuesto predial,n,pagos web,68418903
cotrafa,alumbrado publico,presencial,pagos presencial,68377004
bbva,movilidad,presencial,pagos presencial,68223395
banco de bogota,aprov.esp.pub,n,pagos web,68187198
bancoomeva,impuesto predial,p,pagos web,67985763
"banco davivienda, s.a.",industria y comercio,n,pagos web,67687293
colpatria,impuesto predial,p,pagos web,67647690
banco itau,retencion ica,n,pagos web,67601199
pse - cuentas débito ahorro y,transferencias,p,pagos web,67478037
banco davivienda,impuesto predial,w,pagos web,66323047
banco de occidente,movilidad,n,pagos web,66317500
banco serfinanza s.a,impuesto predial,p,pagos web,66195154
barclays bank delaware,impuesto predial,n,pagos web,65682345
confiar,delineación urbana,presencial,pagos presencial,65552114
banco bilbao vizcaya argentari,impuesto predial,a,pagos web,64761027
banco bbva colombia s.a.,industria y comercio,w,pagos web,63731172
banco agrario,retencion ica,p,pagos web,63632000
goldman sachs bank usa,impuesto predial,p,pagos web,62765593
"banco de occidente, s.a.",impuesto predial,a,pagos web,62528944
scotiabank colpatria s.a.,facilidades,n,pagos web,62424737
"bank of america, n.a.",impuesto predial,p,pagos web,62068450
banco de occidente,alumbrado publico,n,pagos web,61798409
"banco davivienda, s.a.",impuesto predial,a,pagos web,61197333
cotrafa,ingresos no tributarios,presencial,pagos presencial,61065830
banco davivienda,estampilla procultura,n,pagos web,60488000
banco av villas,retencion ica,n,pagos web,59835000
av villas,facilidades,p,pagos web,59058288
banco davivienda,espectaculos publicos,n,pagos web,58714519
scotiabank colpatria,otros ingresos,p,pagos web,58095449
occidente,pot.,presencial,pagos presencial,57980867
bancolombia - botón bancolombi,alumbrado publico,p,pagos web,57684730
bbva,publicidad exterior visual,presencial,pagos presencial,57680363
bancolombia - botón bancolombi,rendimientos financieros y recursos no ejecutados,p,pagos web,57513730
banco davivienda,circulacion y transito,p,pagos web,57152626
banco bbva colombia s.a.,publicidad exterior visual,n,pagos web,56903720
"banco davivienda, s.a.",facilidades,n,pagos web,56460045
american express us,impuesto predial,p,pagos web,56250105
colpatria,rentas contractuales,presencial,pagos presencial,55847291
banco de occidente,otros ingresos,p,pagos web,55460600
"itau corpbanca colombia, s.a.",impuesto predial,a,pagos web,54206945
banco de bogota,movilidad,n,pagos web,54117600
itaú,industria y comercio,n,pagos web,53861826
banco gnb sudameris,circulacion y transito,p,pagos web,53817374
banco de bogota,ingresos no tributarios,n,pagos web,53767969
"banco de guayaquil, s.a.",impuesto predial,p,pagos web,53324540
iris,alumbrado publico,n,pagos web,53083918
banco bbva colombia s.a.,movilidad,p,pagos web,52772960
pse - cuentas débito ahorro y,rentas contractuales,n,pagos web,52685309
banco de bogota,estampilla procultura,n,pagos web,52113000
nu pagamentos sa,industria y comercio,n,pagos web,52076264
"fia card services, n.a.",impuesto predial,p,pagos web,51853230
banco de bogota,aprov.esp.pub,p,pagos web,51447770
popular,delineación urbana,presencial,pagos presencial,51373862
"capital one bank (usa), nation",impuesto predial,p,pagos web,50899416
bancoomeva s.a.,facilidades,p,pagos web,50815073
"bancorp bank, the",impuesto predial,n,pagos web,50353379
gnb sudameris,industria y comercio,p,pagos web,50263543
american express company,impuesto predial,n,pagos web,49888265
bancolombia - botón bancolombi,movilidad,p,pagos web,49846600
confiar cooperativa financiera,impuesto predial,n,pagos web,49676542
citibank,alumbrado publico,n,pagos web,49013000
bancolombia s.a.,delineación urbana,n,pagos web,48894050
coltefinanciera,industria y comercio,n,pagos web,48892705
"citibank, n.a.",impuesto predial,p,pagos web,48766264
citibank n.a.,facilidades,p,pagos web,48743622
avvillas,circulacion y transito,presencial,pagos presencial,48579118
"rappipay, s.a.s.",facilidades,n,pagos web,48156604
citibank,rentas contractuales,n,pagos web,47943223
falabella,impuesto predial,a,pagos web,46995794
banco de bogota,otros ingresos,p,pagos web,46507399
banco de bogota,publicidad exterior visual,n,pagos web,46022000
bancolombia s.a.,rentas contractuales,p,pagos web,45840934
capital one bank (usa) n.a.,impuesto predial,p,pagos web,45644791
bancolombia s.a.,publicidad exterior visual,p,pagos web,45361937
bancolombia s.a.- nequi,facilidades,p,pagos web,43683509
banco de bogotá s.a.,facilidades,n,pagos web,43382618
visa,impuesto predial,p,pagos web,42749564
banco itau,estampilla procultura,p,pagos web,42741000
"banco general, s.a.",impuesto predial,p,pagos web,42520950
"itau corpbanca colombia, s.a.",industria y comercio,n,pagos web,42384275
banco gnb sudameris,facilidades,p,pagos web,42311897
bancoomeva s.a.,impuesto predial,n,pagos web,42053761
colpatria,estampilla procultura,presencial,pagos presencial,42001000
banco davivienda,delineación urbana,n,pagos web,41034500
bogota_1,aprov.esp.pub,presencial,pagos presencial,40886969
scotiabank colpatria s.a.,delineación urbana,p,pagos web,40422300
bcsc,impuesto predial,n,pagos web,39585772
finandina,facilidades,p,pagos web,39548357
banco de bogota s.a.,industria y comercio,n,pagos web,39445039
banco santander,facilidades,p,pagos web,39251337
bancolombia s.a.,ingresos no tributarios,p,pagos web,38908926
bancolombia - botón bancolombi,circulacion y transito,p,pagos web,38728001
ripley visa,facilidades,p,pagos web,38707967
usaa savings bank,impuesto predial,p,pagos web,38489962
financiera coomeva,industria y comercio,p,pagos web,38440895
bancolombia - botón bancolombi,rentas contractuales,a,pagos web,38183299
banco agrario,facilidades,p,pagos web,38114344
pse - cuentas débito ahorro y,industria y comercio,n,pagos web,37670227
banco popular,alumbrado publico,p,pagos web,36581756
finandina,industria y comercio,n,pagos web,36128844
american express us consumer,facilidades,p,pagos web,35806616
banco de occidente,ingresos no tributarios,p,pagos web,35661569
master - master,impuesto predial,p,pagos web,35434569
banco popular,facilidades,n,pagos web,35413667
nium pte. ltd.,impuesto predial,p,pagos web,34815747
"fia card services, national as",impuesto predial,p,pagos web,34647884
banco de costa rica,impuesto predial,p,pagos web,34380262
banco de bogota,industria y comercio,a,pagos web,34043995
nu pagamentos sa,facilidades,n,pagos web,33984802
banco de bogota,impuesto telefonico,p,pagos web,33981528
bancolombia s.a.,aprov.esp.pub,n,pagos web,33898356
bancolombia,delineación urbana,a,pagos web,33511150
bbva colombia s.a,industria y comercio,n,pagos web,33293329
finandina,impuesto predial,a,pagos web,33109772
toronto-dominion bank,impuesto predial,p,pagos web,33025901
bancolombia - botón bancolombi,movilidad,n,pagos web,32885500
confiar cooperativa financiera,retencion ica,p,pagos web,32472000
visa,facilidades,p,pagos web,32341139
banco agrario,retencion ica,n,pagos web,32217000
bancolombia,circulacion y transito,a,pagos web,32196907
payoneer europe limited,impuesto predial,n,pagos web,32087948
cotrafa,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,32058850
pse - cuentas débito ahorro y,rendimientos financieros y recursos no ejecutados,p,pagos web,31932917
banco davivienda,movilidad,n,pagos web,31792500
capital one bank (usa) nationa,impuesto predial,p,pagos web,31721093
banco gnb sudameris,impuesto predial,a,pagos web,31705823
royal bank of canada,impuesto predial,p,pagos web,30685622
visa - visa,impuesto predial,n,pagos web,30669406
bancolombia s.a.,movilidad,p,pagos web,30275600
bancoomeva s.a.,facilidades,n,pagos web,30265714
banco bilbao vizcaya argentari,facilidades,p,pagos web,30229980
banco av villas,rentas contractuales,p,pagos web,30086769
banco av villas s.a.,impuesto predial,a,pagos web,29955154
servibanca s.a.,impuesto predial,p,pagos web,29910238
"teller, a.s.",impuesto predial,p,pagos web,29908874
confiar,pot.,presencial,pagos presencial,29598923
confiar cooperativa financiera,industria y comercio,n,pagos web,29280120
banco davivienda,otros ingresos,p,pagos web,29066752
banco de occidente s.a.,impuesto predial,a,pagos web,29038395
royal bank of canada,facilidades,n,pagos web,29027847
bancamia s.a.,impuesto predial,p,pagos web,28998937
bancolombia - botón bancolombi,circulacion y transito,n,pagos web,28850729
leesport bank,impuesto predial,p,pagos web,28690172
"jpmorgan chase bank, n.a.",industria y comercio,p,pagos web,28682742
banco santander s.a.,impuesto predial,p,pagos web,28509374
banco av villas,facilidades,n,pagos web,28489380
banco pichincha s.a.,industria y comercio,n,pagos web,28439813
"banco de occidente, s.a.",industria y comercio,n,pagos web,28397311
credibanco,impuesto predial,p,pagos web,28318936
scotiabank colpatria,transferencias,p,pagos web,28302281
evolve bank & trust,impuesto predial,p,pagos web,28182503
bancolombia - botón bancolombi,delineación urbana,n,pagos web,27836444
daviplata,industria y comercio,p,pagos web,27673025
cotrafa,aprov.esp.pub,presencial,pagos presencial,27665208
american express company us,impuesto predial,p,pagos web,27568532
banco occidente,facilidades,p,pagos web,27399961
"capital one bank (usa), n.a.",impuesto predial,n,pagos web,27321979
"wells fargo bank, n.a.",impuesto predial,n,pagos web,27308369
banco gnb sudameris,delineación urbana,p,pagos web,27249000
bbva colombia s.a,facilidades,n,pagos web,27238097
morgan stanley private bank na,impuesto predial,p,pagos web,27204499
hsbc bank canada,impuesto predial,p,pagos web,26954422
bancolombia s.a.,industria y comercio,w,pagos web,26942303
occidente,servicios,presencial,pagos presencial,26740169
bancolombia s.a.,facilidades,a,pagos web,26725910
banco de bogota s.a.,facilidades,n,pagos web,26486481
inversora pichincha,impuesto predial,p,pagos web,26416224
nequi,industria y comercio,a,pagos web,26281101
banco caja social,otros ingresos,p,pagos web,26201601
cf tech colombia sas,impuesto predial,p,pagos web,25903959
banco falabella,industria y comercio,a,pagos web,25903076
bank of america,facilidades,p,pagos web,25877013
fia card services national ass,impuesto predial,p,pagos web,25866808
coop. financ. confiar,impuesto predial,p,pagos web,25731993
daviplata,facilidades,p,pagos web,25579624
bancolombia s.a.,rentas contractuales,n,pagos web,25578327
financiera juriscoop,impuesto predial,p,pagos web,25532564
davivienda,servicios,presencial,pagos presencial,25517831
banco santander colombia,retencion ica,p,pagos web,25382000
banco caja social,alumbrado publico,p,pagos web,25371731
bank of america,industria y comercio,p,pagos web,25326341
banco coomeva s.a.,impuesto predial,n,pagos web,24958943
pse - cuentas débito ahorro y,rentas contractuales,p,pagos web,24730174
banco colpatria,industria y comercio,a,pagos web,24637260
